id,name,parent_album,place_in_tracklist,featuring,parent_artist
324,Borderline,26,10,Missy Elliott,4
325,Better Off,26,11,,4
326,Goodnight n Go,26,12,,4
327,Get Well Soon,26,13,,4
328,Witness,27,1,,17
329,Hey Hey Hey,27,2,,17
330,Roulette,27,3,,17
331,Swish Swish,27,4,Nicki Minaj,17
332,Déjà Vu,27,5,,17
333,Power,27,6,,17
334,Mind Maze,27,7,,17
335,Miss You More,27,8,,17
336,Chained to the Rhythm,27,9,Skip Marley,17
337,Tsunami,27,10,,17
338,Bon Appétit,27,11,Migos,17
339,Bigger Than Me,27,12,,17
340,Save as Draft,27,13,,17
341,Pendulum,27,14,,17
342,Into Me You See,27,15,,17
343,My Life Would Suck Without You,28,1,,18
344,I Do Not Hook Up,28,2,,18
345,Cry,28,3,,18
346,Don't Let Me Stop You,28,4,,18
347,All I Ever Wanted,28,5,,18
348,Already Gone,28,6,,18
349,If I Can't Have You,28,7,,18
350,Save You,28,8,,18
351,Whyyawannabrigmedown,28,9,,18
352,Long Shot,28,10,,18
353,Impossible,28,11,,18
354,Ready,28,12,,18
355,I Want You,28,13,,18
356,If No One Will Listen,28,14,,18
357,Future Nostalgia,29,1,,12
358,Don't Start Now,29,2,,12
359,Cool,29,3,,12
360,Physical,29,4,,12
361,Levitating,29,5,,12
362,Pretty Please,29,6,,12
363,Hallucinate,29,7,,12
364,Love Again,29,8,,12
365,Break My Heart,29,9,,12
366,Good in Bed,29,10,,12
367,Boys Will Be Boys,29,11,,12
368,Parabéns,30,1,Psirico,30
369,Tímida,30,2,Thalía,30
370,Lovezinho,30,3,Ivete Sangalo,30
371,Amor de Que,30,4,,30
372,Salvaje,30,5,,30
373,Flash Pose,30,6,Charli XCX,30
374,Clima Quente,30,7,Jerry Smith,30
375,Ponte Perra,30,8,,30
376,Rajadão,30,9,,30
377,Next Level Charli,31,1,,10
378,Gone,31,2,Christine and the Queens,10
379,Cross You Out,31,3,Sky Ferreira,10
380,1999,31,4,Troye Sivan,10
381,Click,31,5,"Kim Petras, Tommy Cash",10
382,Warm,31,6,Haim,10
383,Thoughts,31,7,,10
384,Blame It on Your Love,31,8,Lizzo,10
385,White Mercedes,31,9,,10
386,Silver Cross,31,10,,10
387,I Don't Wanna Know,31,11,,10
388,Official,31,12,,10
389,Shake It,31,13,"Big Freedia, CupcakKe, Brooke Candy, Pabllo Vittar",10
390,February 2017,31,14,"Clairo, Yaeji",10
391,2099,31,15,Troye Sivan,10
392,Ordinary Superstar,32,1,,32
393,Take Me as I Am,32,2,,32
394,10-20-40,32,3,,32
395,Tunnel Vision,32,4,Shamir,32
396,Alterlife,32,5,,32
397,Cyber Stockholm Syndrome,32,6,,32
398,Dynasty,33,1,,32
399,XS,33,2,,32
400,STFU!,33,3,,32
401,Comme des Garçons (Like the Boys),33,4,,32
402,Akasaka Sad,33,5,,32
403,Paradisin',33,6,,32
404,Love Me 4 Me,33,7,,32
405,Bad Friend,33,8,,32
406,Fuck This World,33,9,,32
407,Who's Gonna Save U Now?,33,10,,32
408,Tokyo Love Hotel,33,11,,32
409,Chosen Family,33,12,,32
410,Snakeskin,33,13,,32
411,Roar,34,1,,17
412,Legendary Lovers,34,2,,17
413,Birthday,34,3,,17
414,Walking on Air,34,4,,17
415,Unconditionally,34,5,,17
